state,phase,diagonal_only_j,jzz_scale,mixed_mode,mixed_alpha,min_energy_mev,gamma_band0_mev,gamma_band1_mev,max_energy_mev,max_deviation_mev,torque_proxy_mev,n_warnings,warnings
FM,mixed,True,1.0,antisymmetric_xz_zx,1.0,-358.95119964751495,-358.95119964751495,0.0009999999999732445,0.0009999999999732445,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.3589521996475149. The magnon energies might be unphysical.
FM,mixed,True,1.0,antisymmetric_xz_zx,-1.0,-358.95119964751495,-358.95119964751495,0.0009999999999732445,0.0009999999999732445,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.3589521996475149. The magnon energies might be unphysical.
FM,mixed,True,1.0,antisymmetric_yz_zy,0.25,-358.95119964751495,-358.95119964751495,0.0009999999999732445,0.0009999999999732445,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.3589521996475149. The magnon energies might be unphysical.
FM,mixed,True,1.0,antisymmetric_yz_zy,0.5,-358.95119964751495,-358.95119964751495,0.0009999999999732445,0.0009999999999732445,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.3589521996475149. The magnon energies might be unphysical.
FM,mixed,True,1.0,antisymmetric_yz_zy,1.0,-358.95119964751495,-358.95119964751495,0.0009999999999732445,0.0009999999999732445,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.3589521996475149. The magnon energies might be unphysical.
FM,mixed,True,1.0,antisymmetric_yz_zy,-1.0,-358.95119964751495,-358.95119964751495,0.0009999999999732445,0.0009999999999732445,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.3589521996475149. The magnon energies might be unphysical.
AFM,mixed,True,0.0,xz_only,0.25,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,xz_only,0.5,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,xz_only,1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,xz_only,-1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,yz_only,0.25,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,yz_only,0.5,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
AFM,mixed,True,0.0,yz_only,1.0,-167.97145992246627,-167.97145992246627,-146.07040331337137,34.489447796901054,0.0,0.0,1,WARNING: The system may be far from the magnetic ground-state. Minimum eigenvalue: -0.16798786787475925. The magnon energies might be unphysical.
